Product Name,Rating,Review,Likes,Dislikes
F-Redmi note 13pro 5G,4,I disopointed only battery drain issue it comes to early battry drain Overall good mobile I love it,335,131
F-Redmi note 13pro 5G,5,"Feels and performs up to mark.... Really good in this price range...

The only thing that disappointed me is the camera...",207,64
F-Redmi note 13pro 5G,5,This phone is amazing.. I like the overall performance...please go for it...ignore the negative reviews..,315,108
F-Redmi note 13pro 5G,5,"Ufffff This design Looking Osm 
Love this product.",140,43
F-Redmi note 13pro 5G,4,"Me chosen black varient. It hasn't vegan leather they're not mentioned in advertisement so unknowingly chosen black. There hasn't policies to change colour.
1. Camera - 3/5 not giving wow performance
2. Processor - 4/5 performance is superb
3. Battery - 2/5 Draining too fast. But 19mins for full charge that's good part.
4. Display - 5/5 Awesome
6. IP 68 - 5/5 Awesome
I felt heating issues too. Performance wise phone is good except battery draining.",150,59
F-Redmi note 13pro 5G,5,4x Rear Camera is better than Micro Camera.,8,0
F-Redmi note 13pro 5G,5,Excellent phone,8,0
F-Redmi note 13pro 5G,4,"Got the Phone on 16thJan , 1st Day review.
1.Yes the review you see by is correct,Battery drains faster, maybe because of brightness.
2.Note Camera are not upto the mark, I thought this will change. But this phone also disappointed me.
3.full Fast charge happened in 29 min not 19min.
4.Display is extreamly good.
5.Look good and stylish
6.overprized",6,0
F-Redmi note 13pro 5G,5,Super product,7,0
F-Redmi note 13pro 5G,5,"Camera is Awesome
Performance is very Exilent
I love this product is very to good",13,2
F-Redmi note 13pro 5G,3,Camera quality is not upto the mark. Remaining are good,122,43
F-Redmi note 13pro 5G,5,Value this money,23,6
F-Redmi note 13pro 5G,4,"Camera quality is too good... Faster  charging..
Display quality is too better and smooth.",7,1
F-Redmi note 13pro 5G,5,"Pros:
Camera, call quality, touch, performance all good

Cons:
1st time it's hanged lot
Heating issue also there",17,5
F-Redmi note 13pro 5G,5,Amazing Camera,19,7
F-Redmi note 13pro 5G,4,Good phone but litte bit over priced,6,1
F-Redmi note 13pro 5G,5,Phone looks really very premium. Display and performance is also very good.Camera quality is average.Some updates on battery optimisation required.,4,0
F-Redmi note 13pro 5G,4,"More features , more cost with 120w fast charging ,edge screen,waterproof   back with redmi dialer interesting one
Price is good and best no comparison of price fully loaded with feature and best design
Thank you redmi for this best feature phone
Worth it   for money",9,3
F-Redmi note 13pro 5G,4,"Not upto the mark
Audio quality from speaker is very very poor
Speed Charging in boost modeit will take more than 40 mins
And also battery draining is fast
Good for display only",18,1
F-Redmi note 13pro 5G,3,"Hate the camera.. Worst camera in this price...Don't go for 200mp cam, 48mp with Sony sensor is much better. Waste of money... Display is also below avg.",686,219
F-Redmi note 13pro 5G,5,"Cons-
Phone is not connecting with Android Auto. It is been tested in many cars and same has been informed to service center.
Battery drains quickly
Phone heats below front camera, drastically when you start a task.
You need back covers to protect back cameras
Cannot use back tapping shortcuts ifnyou apply a back cover.

Pros -
You all know",4,0
F-Redmi note 13pro 5G,4,"Very nice redmi note 13 pro plus
Fast charging mobile",11,5
F-Redmi note 13pro 5G,4,"Average Phone with High Price. Redmi 12 note pro is better option as compare to this.
Not a fast Processor.
Avg Speed
Avg Camera
Avg Battery
Avg Display",103,32
F-Redmi note 13pro 5G,5,"Good, but camera is not that satisfying. Performance is good.",3,1
F-Redmi note 13pro 5G,5,Please improve camera colour or such type thing,3,1
F-Redmi note 13pro 5G,5,"Excellent camera, night vision superb,, justify 200 megapixel , in 10x zoom it's feel like microscope for close pic,100% better then realme narzo 200 megapixel camera,

Design, performance excellent

Just need to check waterproofed Or not but dont have gutz bcoz it's only one day old",11,6
F-Redmi note 13pro 5G,3,"Product is excellent, happy to receive",5,2
F-Redmi note 13pro 5G,3,Very bad camera quality,5,1
F-Redmi note 13pro 5G,4,"Don't think about this phone, go and purchase very sexy mobile",1,0
F-Redmi note 13pro 5G,4,Good quality quantity,2,0
F-Redmi note 13pro 5G,4,Average..!!! I have the 512/12 version... The price is much more then the quality... Most probably my last phone of Mi,1,0
F-Redmi note 13pro 5G,4,"Coming from a previous Samsung user:
The product what you get at the same price in Samsung is offering way less than this.
I feel this is good value for money phone, but battery is drains very fast, ofcourse you can charge 100 in less than 30 min, stylish look, good camera and nice performance.
I don't see any issue with camera ofcourse am comparing with Samsung",1,0
F-Redmi note 13pro 5G,4,Best phone redmi note 13 pro plus,1,0
F-Redmi note 13pro 5G,4,Great,1,0
F-Redmi note 13pro 5G,4,"Design and looks are premium. Heating issues while charging. The camera is not up to the mark (in fact the worst camera, every picture taken is completely blurry), both front and back cams).
Performance is good. Display is awesome.",1,0
F-Redmi note 13pro 5G,4,Nice phone,1,0
F-Redmi note 13pro 5G,5,"Good mobile
Good charging
Good desply",4,1
F-Redmi note 13pro 5G,5,Excellent,3,1
F-Redmi note 13pro 5G,5,Mind blowing performance Camera Superb Battery Charging Osm,17,15
F-Redmi note 13pro 5G,5,Everything is awesome in this price  go for it without doubt,5,2
F-Redmi note 13pro 5G,5,Best phone with all features but cost is bit more. It is good at 25k to 27k range.,1,0
F-Redmi note 13pro 5G,5,Nice for that i am so impressed this is me poor thanks for it flipkart,1,0
F-Redmi note 13pro 5G,5,10 OF 10,2,0
F-Redmi note 13pro 5G,5,"As using this device for 1 week quite OK for heavy users. its 200 MP camera is not upto the Mark.
as compared to my OLD note 10T pro 5G its display rate is low i.e. 120 HZs where my old device had rate of 144Hz
device gets heat during charging may be cause of 120 W turbo charge.
gaming Experience is good but snapdragon rocks always in gaming expectations.
overall good experience till now",1,0
F-Redmi note 13pro 5G,5,"Ya I like it.
Premium design. Super display
I am happy with this phone",1,0
F-Redmi note 13pro 5G,5,Very good performance and camera is wonderful very good experience of redmi,1,0
F-Redmi note 13pro 5G,5,Stunning phone..fast charging..great camera.. awesome portrait..animation effect..,1,0
F-Redmi note 13pro 5G,5,"Camera Quality is Best  
Display Best",1,0
F-Redmi note 13pro 5G,5,Gud,1,0
F-Redmi note 13pro 5G,5,"Really stunning.

Amazing camera effect and display is gorgeous...Thank u redmi.",1,0
F-Redmi note 13pro 5G,5,Good,1,0
F-Redmi note 13pro 5G,4,"Camera quality ossome
Looking nice but price is high",20,26
F-Redmi note 13pro 5G,4,"Mobile performance is good, camera is not that much effective... Apart from camera everything is awesome",3,1
F-Redmi note 13pro 5G,3,"Overall products are average, 200 megapixel camera is not working, 64 megapixel is much better than this. The battery is drained in just 3-4 Hrs of use, and needs to be charged 2-3 times a day. Products is not justifying it's cost in this segment.",9,1
F-Redmi note 13pro 5G,5,It is not a good device because of unnecessary pre-installed application and bloatware. It still runs on Android 13 instead of Android 14. The Mediatek dimensity processor is used in this device instead of the snapdragon processor which is not good.,3,1
F-Redmi note 13pro 5G,5,Usefull moble,2,1
F-Redmi note 13pro 5G,3,Camera is very bad it 200 mp but its performance is same of 30 mp very bad camera,1,0
F-Redmi note 13pro 5G,3,"Camera design very big bump but
Camera quality is not good light balance is very bad it's only number 200mp no quality.
.

In my case it's take 45 min full change I don't why this happened.
I used this phone past 1 week battery backup approx 1 day if you your normal user otherwise you need to change this phone 2 time in a day.

No tempted and screen guard allready installed.
As per my opinion phone is good but in this price more Better option available.",2,0
F-Redmi note 13pro 5G,3,Display problem lagging and power button not working some time,1,0
F-Redmi note 13pro 5G,3,"Camera is mid. 10x maximum zoom for this price is not acceptable.
There is some noticable heating while gaming and charging, probably due to leather back. And ofcourse battery drains a lot.
Fingerprint reader is also slow and sometimes does not work.
I hope they release HyperOS for 13 series soon. And I hope there are more software optimizations in te future.",1,0
F-Redmi note 13pro 5G,5,Best Mobile,3,3
F-Redmi note 13pro 5G,4,Battery draining to fast. Not good for those who looking best battery backup mobile otherwise all are ok.,1,0
F-Redmi note 13pro 5G,4,The Product is good. Only heating issue is there otherwise everything is Ok,0,0
F-Redmi note 13pro 5G,4,Good but battery little bit head,1,0
F-Redmi note 13pro 5G,4,The phone performance is very good. I have an issue with the battery it doesn't lasts much. Battery drain is a major issue in this phone. However charger is also fast. But the battery backup is not upto the mark. Rest all good and the phone is superb with 1 week of usage experience,1,0
F-Redmi note 13pro 5G,5,"It deserves a 5 star because it is a value for money phone and has some of the best feature in this range compared to poco x6 pro, one plus 11r, iqoo z7 pro. Was hesitant to buy poco x6 has a better performance but this phone has better camera than oppo and performance is already top notch.",7,9
F-Redmi note 13pro 5G,5,SUPER CAMERA,4,4
F-Redmi note 13pro 5G,5,"Its been a month and the phone is working perfectly in every aspect.
This phone has everything a person need for a moderate use, 12 GB RAM and 512 GB ROM is just wow.

Display is super amazing , no other phone can beat it.
Cristal clear and super dynamic crispy display with 68Billion colors. Truly supports Dolby vision and HDR.

Sound quality is awesome, you can enjoy Dolby Atmos.

Mediatek Dimensity 7200 ultra is working like beast. You can play BGMI and Free Fire with HDR setting.

Camera is good , you can click very good quality Portrait mode photos and night mode photos.

Battery backup is decent and 120 watt charging is just superfast. You can charge 0 to 100 in just 25 minutes.

IP68 with Gorilla Glass Victus means 100% protection from damage.

No heating issues, no phone lagging, just flawlessly working.

Overall it's 9 out of 10 phone.",2,1
F-Redmi note 13pro 5G,5,Camera quality Nice,1,0
F-Redmi note 13pro 5G,5,The quality of the phone is not according to the money,1,0
F-Redmi note 13pro 5G,5,Charging soliy,0,0
F-Redmi note 13pro 5G,5,Very nice  amazing review,1,0
F-Redmi note 13pro 5G,5,Product was very good,1,0
F-Redmi note 13pro 5G,5,Unbeatable smart phone.,1,0
F-Redmi note 13pro 5G,3,"Falls short in several aspects, including its build quality, software optimization, and camera performance.
Issues with overheating, laggy performance, and frequent software glitches.
The camera quality often disappoints, producing subpar photos and videos in various lighting conditions. Overall, considering the competition in its price range.

The Redmi Note 13 Pro Plus fails to deliver the expected level of performance and reliability.",3,2
F-Redmi note 13pro 5G,3,"After using this product for two days I'm sharing my feedback.
Pros:
1. Good looking (that's it)
2. Performance is quite good
Cons:
1. The company claims that this Phone will fully charge in 19 mins but in reality it's taking around 50 mins to fully charge the phone. The battery will drain too fast even though the phone is on standby and you will get heating issues as well.
2. Got a scratch on screen after rubbing the phone on the bedsheet. So not sure what the use of victus glass is.
3. Inshort, The Redmi Note 13 Pro Plus falls short in various aspects, making it a regrettable choice for users. The camera quality is subpar, producing grainy and lackluster images even in well-lit conditions. The promised features feel more like a marketing gimmick, with underwhelming performance that fails to justify the higher price tag.

Additionally, the battery life is a letdown, struggling to last through a day of moderate usage despite the touted enhancements. The device's build quality is questionable, exhibiting a plasticky feel that lacks the premium touch expected in this price range. The UI experience is marred by bloatware, making the overall user interface cluttered and cumbersome.

Furthermore, the absence of significant innovations or standout features leaves the Redmi Note 13 Pro Plus trailing behind competitors in the market. It's a disappointing investment for those seeking a reliable and feature-rich smartphone experience.",792,203
F-Redmi note 13pro 5G,3,Company claimed 19 mins to take fully charged but It takes 40+ minutes,2,1
F-Redmi note 13pro 5G,3,Heating problem and not as per standards and camera size too big,0,0
F-Redmi note 13pro 5G,3,Battery performance is bad,0,0
