Product Name,Rating,Review,Likes,Dislikes
Oneplus Nord 3- 5G,4,"Review for the OnePlus Note 3:

1. **Performance: 8/10**
- Solid performance overall, handling daily tasks with ease.
- Smooth multitasking and responsiveness.

2. **Battery: 5/10**
- Below-average battery performance.
- May struggle to last a full day with moderate to heavy usage.

3. **Display: 9/10**
- Vibrant and immersive display.
- Sharp visuals with good color accuracy.

4. **Sound: 7/10**
- Decent sound quality.
- Could be improved for a more immersive audio experience.

5. **Design and Build Quality: 8/10**
- Sturdy build quality.
- Sleek design with attention to detail.

6. **Operating System and Stability: 9/10**
- Smooth and stable operating system.
- Regular updates contribute to reliability and security.

7. **Overall Experience: 7.5/10**
- Provides a satisfactory user experience.
- Room for improvement in battery life and sound quality.

Overall, the OnePlus Note 3 offers solid performance and a vibrant display, but its battery performance and sound quality may leave some users wanting more. However, its sturdy build quality and stable operating system contribute to a decent overall experience.",157,27
Oneplus Nord 3- 5G,4,Everything is correct except the battery . Battery drain too fast,160,31
Oneplus Nord 3- 5G,5,This range phone is good but phone need to upgrade battery level ..,526,118
Oneplus Nord 3- 5G,5,Happy to have this phone,175,34
Oneplus Nord 3- 5G,5,Super,645,156
Oneplus Nord 3- 5G,4,Very good,146,34
Oneplus Nord 3- 5G,5,Nice camera,144,30
Oneplus Nord 3- 5G,4,This phone is really nice.,26,3
Oneplus Nord 3- 5G,4,Good mobile phone,10,0
Oneplus Nord 3- 5G,5,Excellent,689,199
Oneplus Nord 3- 5G,5,Good to go,66,13
Oneplus Nord 3- 5G,4,"Nord 3 product good
Camera   good,",88,23
Oneplus Nord 3- 5G,5,Amazing full worth it...,148,38
Oneplus Nord 3- 5G,5,"I have been using this mobile oneplus nord 3 for 2 week and this is my experience
1. Display : is very good and can go to decent brightness. Watching videos is a good experience. 120fps mode looks good too. Not watched much hdr content on it. Also not sure how 120fps works with games.
2. Battery : It easily lasts full day of medium usage, and with 80 watt charger included battery charges from 0 to 100 in around 40 min. So battery is not a issue. Earlier used to charge my previous phone overnight and now only need to charge it in morning for around 30 min. Another thing battery loss during night is very low, like around 5 percent max.
3. Performance : it handles all normal work easily and can easily handle multiple apps. Haven't done much gaming but the little gaming i did was good, cannot say anything for long gaming session.
4 Connectivity : No network issue faced yet, 5g work with both jio and airtel network when 5g network is available.
5 Sound : Speaker is decent, not great, Dolby atoms works good with headphones and earbuds. Voice while calling is also good.",16,1
Oneplus Nord 3- 5G,5,"I'm fully satisfied with
1. Camera clarity.
2. Display n performance is like Butter  
3. Speaker is also loud n clear compare to any other phones.
4. Design - Lightweght
5. Charging is very fast.

Only thing is Battery need to be 6000mah atleast .Still 5000mah is good for daily use. As it is charging very fast no need to worry.

I give 4.5/5*",232,70
Oneplus Nord 3- 5G,4,Wow,36,8
Oneplus Nord 3- 5G,5,"Top notch picture quality and night mode is just incredible...
I have seen reviews about battery but I m using it since 1 month and battery back up is awesome
In short very power packed phone",14,1
Oneplus Nord 3- 5G,4,"On a scale of 5.

Display   5
Performance4
Battery   4
Front camera   2.5
Rear camera   4
Haptics 4.5
Speaker   4
Design 4
Connectivity 5
Nothing will upset you if u buy this phone except for the front camera. This phone is performing astonishingly good in connecting 5G.",19,3
