Product Name,Rating,Review,Likes,Dislikes
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4.5,What else we can ask for. The perfect phone with superb camera and performance. Appreciate Flipkart for providing great offers.,701,137
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Awesome phone,2185,464
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,"Very nice camera , Battery back up good, Looking so beautiful,His amazing product, faster charging so amazing , I love this phone",1932,409
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Amazing,280,48
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,awesome mobile,179,28
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Satisfied product... Value for money,365,71
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,"Real awesome smart phone in the Range.
Everything is the awesome",396,82
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,"A great value for money device by OnePlus
Awesome experience awesome camera and performance and battery backup + charging is unmatchable.",108,18
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4,"Really good,",59,8
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4,Recommended product.,27,2
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4.5,OnePlus 11r 5g are best phone,101,18
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,best in the year,67,12
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Best phone in this segment.. thanks Flipkart,46,7
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,"It's an awesome product..
Display is awesome.
Performance wise too good.
According to me this is oneplus one of the best product.
I was planned for Google pixel 7a but my mind change after saw this handset... I am very happy with this product.
As usual seeing oneplus before it's too upgraded and modified.
Performance wise too fast as expected.",213,57
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Picture quality and phone colour etc is very Good...and phone performance is 1st class battery performance also very Good and charge fast total 10 to 20 min totally charges,25,3
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,"I'm give the Review after 15 day and I'm feel very good this phone camera quality is very nice , battery, also and curve display is awesome, thanks to OnePlus",118,31
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Nice mobile,15,1
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4,Nice one,15,1
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4,Excellent Phone satisfied with one plus this time,38,8
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Oneplus is the best mobile and it is better than Vivo mobile,8,0
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4.5,"Camera Superb, Display Is Amazing. Overall A Great Phone On This Budget Segment.",29,6
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,I'm writing this review after 1 month of experience let's get to the point if you are a hardcore gamer stay away from this device yeah 8+ gen 1 not giving it peek performance in this device.. and the camera it's good details is very very good... The display is just awesome you can watch Netflix in HDR 10+.. and the battery you can see in pic BTW I didn't charge 100% battery it's from 86%,309,123
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4,Beautiful selfie and rear,29,7
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4,Best picture,11,1
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4,"1.I didn't expect the display was really awesome with 1.5k resolution.
2.Main 50MP Camera is performing great.others are 8+2 performs decent.
3.Battery is very good it comes with 5000mah and 100w fast charging really superb.It gives 7 to 8 hrs screen on time.
4.Proccessor is really cool.It runs any application easily without any lags.
5.Design is one of the major highlight of this phone.Really Excellent design.",7,0
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4,"Fully satisfied with the product. It is a true flagship killer phone. Main Camera is very good but other two cameras are average. Photos in daylight as well as in night are great. I would rate camera 4 out of 5.

Performance is top notch with snapdragon 8 gen 1 processor. I would rate processor 4.5 out of 5.

Battery backup is great. It lasts almost a day with moderate usage. I would rate battery 4.7 out of 5

Charging is awesome. 100 watt charger fully charges the phone in around half an hour. I would rate charging speed 5 out of 5.

Built quality is great. But back panel is slippery so back cover is essential.

Display of the phone is very bright and crisp. I would rate it 5 out of 5.

I would suggest everyone to buy this smartphone if one would compromise somewhat with secondary cameras.",14,2
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Very good,16,3
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,One of the Best in Android,13,2
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Best flagship phone one plus 11 r ..No doubt it is best of the best,46,17
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Camera   super performance good not beast display ultimate and battery life also good,27,7
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4.5,Battery life is good and camera is ok not up to the mark a decent one,6,0
"OnePlus 11R 5G (Galactic Silver, 256 GB)",4,Super good,14,3
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Mind Blowing product from OnePlus side Just speechless for Haptic Feedback And Recommended For Everyone who deserve the Best Performance device,16,4
"OnePlus 11R 5G (Galactic Silver, 256 GB)",5,Just go for it...,19,2
"OnePlus 11R 5G (Galactic Silver, 256 GB)",3,"I can tell you this after six months of use. That mobile is great. Be it in terms of camera or in terms of performance, it is great in every aspect.",5,0
